iter	Passed	Remaining
311	173668	104646
312	174246	104102
313	174757	103518
314	175320	102966
315	175851	102394
316	176389	101827
317	176913	101252
318	177444	100681
319	178029	100141
320	178574	99579
321	179125	99019
322	179641	98441
323	180198	97885
324	180727	97314
325	181273	96753
326	181840	96203
327	182418	95658
328	182945	95087
329	183489	94524
330	184024	93957
331	184549	93386
332	185096	92826
333	185609	92248
334	186166	91694
335	186694	91124
336	187240	90564
337	187763	89993
338	188307	89432
339	188840	88865
340	189399	88312
341	189954	87756
342	190491	87192
343	191051	86639
344	191560	86063
345	192093	85498
346	192637	84938
347	193257	84411
348	193770	83837
349	194334	83286
350	194916	82742
351	195486	82192
352	196042	81638
353	196561	81067
354	197126	80516
355	197650	79948
356	198220	79399
357	198747	78832
358	199366	78302
359	200224	77864
360	200847	77334
361	201431	76788
362	201996	76235
363	202516	75665
364	203080	75111
365	203611	74546
366	204136	73978
367	204663	73411
368	205165	72836
369	205714	72278
370	206260	71718
371	206808	71159
372	207371	70606
373	207917	70047
374	208441	69480
375	208991	68922
376	209511	68355
377	210075	67802
378	210597	67235
379	211143	66677
380	211667	66111
381	212226	65556
382	212752	64992
383	213327	64442
384	213886	63888
385	214430	63329
386	214962	62766
387	215493	62204
388	216048	61648
389	216570	61084
390	217099	60521
391	217616	59955
392	218179	59402
393	218718	58843
394	219291	58292
395	219837	57735
396	220419	57187
397	220958	56627
398	221515	56072
399	222059	55514
400	222597	54955
401	223161	54402
402	223707	53845
403	224270	53291
404	224805	52732
405	225373	52180
406	225934	51626
407	226450	51062
408	227029	50512
409	227529	49945
410	228135	49401
411	228698	48848
412	229256	48293
413	229857	47748
414	230449	47200
415	231012	46646
416	231543	46086
417	232115	45534
418	232637	44972
419	233215	44422
420	233779	43868
421	234311	43308
422	234870	42754
423	235428	42199
424	235975	41642
425	236495	41081
426	237094	40533
427	237611	39971
428	238210	39424
429	238770	38869
430	239345	38317
431	239968	37772
432	240537	37219
433	241125	36668
434	241804	36131
435	242725	35629
436	243875	35158
437	244837	34657
438	245726	34144
439	246651	33634
440	247658	33133
441	248570	32617
442	249441	32095
443	250460	31589
444	251228	31050
445	251778	30484
446	252314	29916
447	252889	29353
448	253442	28787
449	254034	28226
450	254607	27662
451	255126	27093
452	255708	26530
453	256283	25967
454	256858	25403
455	257412	24838
456	257998	24275
457	258554	23710
458	259104	23144
459	259650	22578
460	260170	22010
461	260724	21444
462	261249	20877
463	261802	20312
464	262326	19744
465	262892	19180
466	263443	18615
467	263990	18050
468	264522	17484
469	265062	16918
470	265639	16355
471	266195	15791
472	266765	15227
473	267293	14661
474	267901	14100
475	268428	13534
476	268975	12969
477	269506	12404
478	270056	11839
479	270591	11274
480	271159	10711
481	271701	10146
482	272214	9581
483	272757	9016
484	273323	8453
485	273869	7889
486	274395	7324
487	274945	6760
488	275439	6195
489	275975	5632
490	276494	5068
491	277021	4504
492	277524	3940
493	278046	3377
494	278560	2813
495	279082	2250
496	279612	1687
497	280169	1125
498	280730	562
499	281262	0
